FP1,FP2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,A1,A2,FZ,CZ,PZ
734.30000,0.32326,0.06410,-0.06571,0.30599,0.33453,0.10486,0.60735,0.19978,0.30781,0.17321,0.76345,0.27720,1.04663,0.33702,0.97783,0.31019,0.97973,0.65129,0.82120,1.16665,0.01174
734.30400,0.24416,0.01098,-0.20453,0.30599,0.13219,0.10486,0.60735,0.26564,0.50100,0.35878,1.24597,0.32834,1.29367,0.51094,1.06310,0.37358,1.15426,0.73059,0.59435,0.82881,0.08512
734.30800,0.00686,-0.09526,-1.03747,-0.09866,-0.07014,-0.05402,0.43349,0.19978,0.69419,0.42064,1.40681,0.32834,1.29367,0.56891,1.14838,0.37358,1.06699,0.57199,0.25407,0.49098,0.23188
734.31200,0.24416,0.06410,-0.89865,0.19038,-0.07014,0.10486,0.60735,0.33150,0.75859,0.42064,1.24597,0.48177,1.41719,0.74283,1.23365,0.50037,1.32880,0.73059,0.48092,0.71620,0.30527
734.31600,0.32326,0.22346,-0.34336,0.30599,0.33453,0.42261,0.86813,0.52908,0.75859,0.42064,1.08513,0.63520,1.41719,0.80081,1.40420,0.69054,1.32880,0.96848,0.93462,1.16665,0.30527
734.32000,0.32326,0.27658,-0.34336,0.36380,0.33453,0.50204,0.95506,0.59494,0.88738,0.60622,0.60261,0.63520,1.41719,0.74283,1.40420,0.69054,1.32880,1.04777,0.93462,1.05404,0.37865
734.32400,0.24416,0.17034,-0.62100,0.13257,-0.27248,0.26373,0.78120,0.52908,1.01617,0.72994,0.28093,0.53292,1.29367,0.80081,1.40420,0.62715,1.32880,0.73059,0.59435,0.82881,0.67217
734.32800,0.16506,0.11722,-0.89865,0.07476,-0.27248,0.26373,0.69427,0.46322,1.01617,0.66808,0.60261,0.48177,1.04663,0.74283,1.31893,0.50037,1.41606,0.73059,0.48092,0.94143,0.67217
734.33200,0.24416,0.17034,-0.48218,0.36380,0.13219,0.58148,0.86813,0.66080,0.88738,0.54436,0.44177,0.53292,1.04663,0.68486,1.31893,0.56376,1.15426,0.88918,0.93462,1.39187,0.59879
734.33600,0.24416,0.11722,-0.34336,0.36380,-0.07014,0.66092,0.95506,0.79253,0.88738,0.48250,-0.04075,0.63520,0.92311,0.74283,1.14838,0.50037,0.89246,0.57199,0.93462,1.50448,0.74555
734.34000,-0.15134,-0.04214,-1.31512,-0.21427,-0.67715,0.42261,0.60735,0.66080,0.82298,0.42064,-1.32746,0.32834,0.42903,0.45297,0.97783,0.24680,0.54339,0.25481,0.48092,1.27926,1.03908
734.34400,-0.23044,-0.09526,-1.45394,-0.50331,-0.67715,0.34317,0.52042,0.52908,0.69419,0.29692,-0.36242,0.02148,0.30551,0.22107,0.80727,0.05663,0.45612,0.09621,0.48092,1.16665,1.03908
734.34800,-0.07224,0.01098,-0.75982,0.42161,-0.27248,0.58148,0.60735,0.66080,0.43661,0.11135,0.92429,0.22606,0.30551,0.27905,0.72200,0.12002,0.45612,0.09621,0.82120,1.61709,0.89232
734.35200,0.00686,0.06410,-0.62100,0.53723,-0.27248,0.66092,0.69427,0.72667,0.50100,0.23506,0.44177,0.07262,0.42903,0.27905,0.72200,0.05663,0.45612,-0.06238,1.04805,1.84231,0.96570
734.35600,-0.15134,0.01098,-1.31512,0.13257,-0.67715,0.42261,0.43349,0.52908,0.50100,0.23506,-0.52326,-0.23424,0.05847,0.04715,0.55145,-0.13354,0.10705,-0.14168,0.70777,1.50448,1.03908
734.36000,-0.30954,-0.20150,-1.73158,0.07476,-0.87948,0.26373,0.17270,0.26564,0.43661,0.04949,-1.80998,-0.08081,-0.18857,-0.12677,0.38090,-0.26033,0.10705,-0.30027,0.48092,1.39187,0.96570
734.36400,-0.23044,-0.09526,-1.17629,0.19038,-0.47481,0.42261,0.25963,0.33150,0.30781,-0.01237,-0.68410,-0.08081,-0.06505,-0.24272,0.38090,-0.26033,0.19432,-0.53816,0.93462,1.72970,0.74555
734.36800,-0.07224,0.01098,-0.62100,0.47942,-0.67715,0.66092,0.43349,0.39736,0.30781,0.11135,-0.36242,-0.02966,-0.06505,-0.12677,0.46617,-0.13354,0.10705,-0.22097,1.04805,1.95492,0.67217
734.37200,-0.07224,0.01098,-1.03747,0.24819,-0.87948,0.50204,0.43349,0.33150,0.50100,0.29692,-0.68410,-0.08081,0.05847,-0.06880,0.72200,-0.13354,0.10705,-0.14168,0.93462,1.72970,0.89232
734.37600,-0.07224,0.01098,-1.87041,0.19038,-1.28415,0.42261,0.25963,0.19978,0.69419,0.42064,-0.68410,-0.02966,0.05847,0.04715,0.72200,-0.13354,0.10705,-0.14168,0.70777,1.50448,0.96570
734.38000,0.16506,0.11722,-1.31512,0.47942,-1.08181,0.74036,0.43349,0.33150,0.75859,0.54436,-1.16662,0.32834,0.05847,0.16310,0.63672,0.18341,0.28158,0.41340,1.16147,1.95492,0.81893
734.38400,0.40236,0.32970,-0.89865,0.36380,-0.87948,0.97867,0.69427,0.46322,0.88738,0.72994,-0.68410,0.37949,0.30551,0.33702,0.89255,0.43697,0.45612,0.73059,1.50175,2.18014,0.74555
734.38800,0.24416,0.38282,-1.45394,0.19038,-1.28415,0.89923,0.43349,0.39736,1.01617,0.85365,-0.36242,0.02148,0.18199,0.33702,0.80727,0.43697,0.28158,0.57199,1.38832,1.95492,0.81893
734.39200,0.16506,0.38282,-2.00923,0.76846,-1.89115,0.74036,0.08577,0.33150,1.08057,0.91551,0.28093,0.17491,-0.06505,0.33702,0.63672,0.50037,0.10705,0.73059,1.16147,1.61709,0.96570
734.39600,0.40236,0.43594,-1.73158,0.88407,-1.89115,0.89923,0.08577,0.52908,1.01617,0.91551,-0.20159,0.37949,-0.31209,0.51094,0.46617,0.69054,0.28158,1.04777,1.50175,1.95492,0.96570
734.40000,0.56056,0.59530,-0.89865,0.94188,-1.89115,1.21698,0.25963,0.79253,0.95178,1.10109,-1.00578,0.48177,-0.55913,0.62689,0.29562,0.94410,0.28158,1.28566,1.72859,2.29275,0.96570
734.40400,0.48146,0.54218,-1.17629,0.94188,-1.89115,1.13754,0.08577,0.85839,1.01617,1.28667,-0.84494,0.48177,-0.80618,0.68486,0.12507,1.00749,0.10705,1.36496,1.50175,2.06753,1.18584
734.40800,0.40236,0.38282,-2.00923,0.53723,-2.49815,0.81979,-0.26195,0.72667,1.08057,1.34853,-1.00578,0.32834,-1.17674,0.56891,-0.13076,1.07088,0.01978,1.28566,1.16147,1.72970,1.40598
734.41200,0.32326,0.32970,-2.00923,0.65284,-2.49815,0.74036,-0.26195,0.79253,0.95178,1.41038,-1.00578,0.43063,-1.30026,0.51094,-0.21603,1.13427,-0.15475,1.52355,1.27490,1.84231,1.40598
734.41600,0.48146,0.43594,-1.17629,0.76846,-2.09349,0.97867,-0.08809,0.92425,0.82298,1.34853,-0.68410,0.43063,-1.30026,0.51094,-0.30131,1.26106,-0.24202,1.60285,1.61517,2.06753,1.25922
734.42000,0.63966,0.48906,-0.62100,0.71065,-1.89115,0.97867,-0.08809,0.79253,0.82298,1.34853,-0.84494,0.53292,-1.30026,0.56891,-0.38658,1.19766,-0.15475,1.60285,1.50175,1.95492,1.33260
734.42400,0.24416,0.27658,-1.31512,0.36380,-1.89115,0.50204,-0.43581,0.33150,0.69419,1.16295,-0.84494,0.37949,-1.42378,0.45297,-0.47186,0.94410,-0.15475,1.20636,0.93462,1.39187,1.18584
734.42800,0.32326,0.22346,-1.17629,0.19038,-1.68882,0.26373,-0.43581,0.00220,0.50100,0.85365,0.28093,0.12377,-1.05322,0.27905,-0.47186,0.75393,-0.15475,1.12707,0.82120,1.27926,0.89232
734.43200,0.48146,0.22346,-0.20453,-0.15647,-0.87948,0.26373,-0.26195,-0.26125,0.17902,0.48250,0.60261,-0.02966,-0.68266,0.16310,-0.38658,0.56376,-0.24202,1.44425,0.93462,1.39187,0.45203
734.43600,0.48146,0.22346,0.07311,-0.21427,-0.67715,0.02542,-0.34888,-0.59055,-0.01417,0.23506,0.60261,0.02148,-0.55913,-0.06880,-0.47186,0.31019,-0.15475,1.28566,0.82120,1.16665,0.15850
734.44000,0.16506,0.01098,-0.34336,0.13257,-0.87948,-0.61008,-0.60966,-1.05158,-0.07856,0.11135,0.28093,-0.08081,-0.55913,-0.18474,-0.55713,0.05663,-0.06749,0.96848,0.25407,0.49098,0.01174
734.44400,-0.07224,-0.20150,-0.34336,-0.32989,-0.67715,-0.84839,-0.78352,-1.31502,-0.20736,-0.07423,0.12009,-0.33653,-0.31209,-0.35866,-0.47186,-0.19693,-0.06749,0.80988,-0.08620,0.15315,-0.20840
734.44800,0.08596,-0.14838,0.62841,-0.21427,0.13219,-0.68952,-0.52273,-1.31502,-0.40054,-0.25981,1.40681,-0.08081,0.18199,-0.35866,-0.30131,-0.13354,0.19432,0.88918,0.14065,0.37837,-0.50193
734.45200,0.16506,-0.14838,0.90605,-0.09866,0.33453,-0.61008,-0.43581,-1.31502,-0.40054,-0.38353,1.40681,-0.13195,0.42903,-0.30069,-0.13076,-0.19693,0.28158,0.96848,0.14065,0.37837,-0.64869
734.45600,-0.15134,-0.30774,0.21194,-0.44550,0.33453,-0.84839,-0.52273,-1.44675,-0.33615,-0.44538,1.40681,-0.23424,0.55255,-0.47461,0.03980,-0.45050,0.45612,0.57199,-0.31305,-0.18468,-0.50193
734.46000,-0.38864,-0.41398,-0.06571,-0.56112,0.13219,-1.08670,-0.60966,-1.51261,-0.33615,-0.56910,0.92429,-0.23424,0.42903,-0.59056,0.12507,-0.57728,0.63065,0.33410,-0.65333,-0.40990,-0.57531
734.46400,-0.23044,-0.36086,0.35076,-0.38770,0.73919,-0.76895,-0.26195,-1.24916,-0.40054,-0.63096,1.72849,-0.38767,0.67607,-0.53258,0.29562,-0.51389,0.54339,0.57199,-0.31305,-0.07207,-0.64869
734.46800,-0.15134,-0.36086,1.04487,-0.27208,1.14386,-0.53064,0.17270,-0.85400,-0.33615,-0.50724,2.85436,-0.28538,1.17015,-0.53258,0.63672,-0.32372,0.63065,0.73059,-0.19963,0.15315,-0.50193
734.47200,-0.54684,-0.57334,0.76723,-0.50331,0.94153,-0.68952,0.17270,-0.72227,-0.27175,-0.50724,2.37185,-0.54110,1.17015,-0.70650,0.72200,-0.45050,0.63065,0.25481,-0.65333,-0.18468,-0.13502
734.47600,-0.86324,-0.73270,-0.06571,-0.79235,0.73919,-0.84839,0.08577,-0.59055,-0.27175,-0.56910,1.24597,-0.79682,0.79959,-0.82245,0.46617,-0.57728,0.80519,-0.14168,-0.99360,-0.40990,0.08512
734.48000,-0.78414,-0.78582,0.62841,-1.02358,1.14386,-0.53064,0.34656,-0.26125,-0.33615,-0.56910,-0.20159,-0.64339,0.79959,-0.64853,0.46617,-0.45050,0.63065,-0.06238,-0.88018,-0.07207,0.08512
734.48400,-0.70504,-0.67958,1.04487,-0.50331,1.54853,-0.21289,0.60735,0.06806,-0.33615,-0.50724,0.28093,-0.59224,0.92311,-0.53258,0.63672,-0.26033,0.45612,0.01692,-0.65333,0.26576,0.15850
734.48800,-1.02144,-0.83894,0.62841,-0.15647,1.34620,-0.37177,0.60735,0.13392,-0.27175,-0.32167,0.76345,-0.74567,0.79959,-0.64853,0.55145,-0.32372,0.45612,-0.22097,-0.99360,0.04054,0.45203
734.49200,-1.33784,-0.99830,-0.06571,-0.79235,0.94153,-0.53064,0.52042,0.19978,-0.07856,-0.19795,-0.20159,-0.79682,0.79959,-0.64853,0.63672,-0.26033,0.45612,-0.30027,-1.44730,-0.18468,0.67217
734.49600,-1.25874,-0.99830,0.07311,-0.61893,1.34620,-0.37177,0.78120,0.46322,-0.01417,-0.13609,-0.04075,-0.69453,1.04663,-0.59056,0.72200,-0.13354,0.71792,-0.30027,-1.22045,0.04054,0.67217
734.50000,-1.10054,-0.89206,0.48958,-0.44550,1.75087,-0.05402,1.21585,0.79253,0.17902,0.11135,0.76345,-0.74567,1.17015,-0.47461,0.89255,0.18341,0.97973,0.09621,-0.88018,0.37837,0.74555
734.50400,-1.17964,-0.89206,0.21194,-0.50331,1.54853,0.02542,1.21585,0.85839,0.43661,0.35878,0.92429,-0.84796,1.17015,-0.47461,0.97783,0.37358,0.80519,0.25481,-0.99360,0.26576,0.89232
734.50800,-1.49604,-1.05142,-0.48218,-0.67673,1.14386,-0.21289,1.12892,0.79253,0.62980,0.54436,0.76345,-0.89911,1.29367,-0.53258,1.06310,0.31019,0.89246,-0.06238,-1.33388,-0.18468,1.03908
734.51200,-1.33784,-1.05142,-0.48218,-0.67673,1.14386,-0.13345,1.30278,0.99011,0.75859,0.66808,0.60261,-0.79682,1.17015,-0.35866,1.14838,0.56376,1.24153,0.17551,-1.33388,-0.18468,1.03908
734.51600,-1.02144,-0.89206,0.76723,-0.38770,1.75087,0.18429,1.56357,1.25355,0.88738,0.79179,0.12009,-0.64339,1.41719,-0.18474,1.40420,0.81732,1.32880,0.41340,-0.88018,0.15315,0.96570
734.52000,-1.17964,-0.83894,0.76723,-0.44550,1.75087,0.26373,1.65050,1.25355,1.08057,1.03923,0.12009,-0.69453,1.54071,-0.12677,1.48948,0.94410,1.41606,0.57199,-0.88018,0.15315,0.96570
734.52400,-1.41694,-0.99830,-0.06571,-0.96577,1.34620,0.02542,1.47664,1.18769,1.27376,1.22481,-0.36242,-0.74567,1.41719,-0.18474,1.48948,0.94410,1.41606,0.57199,-1.33388,-0.29729,1.11246
734.52800,-1.25874,-0.99830,0.07311,-1.08139,1.34620,0.10486,1.38971,1.18769,1.33816,1.28667,-0.68410,-0.69453,1.66423,-0.01082,1.57475,1.00749,1.67787,0.49270,-1.33388,-0.29729,1.11246
734.53200,-1.02144,-0.83894,0.76723,-0.27208,1.95320,0.18429,1.73742,1.38528,1.46695,1.34853,1.08513,-0.33653,1.91127,0.22107,1.74530,1.26106,1.93967,0.80988,-0.99360,0.04054,1.03908
734.53600,-1.02144,-0.78582,1.04487,-0.27208,1.95320,0.26373,1.82435,1.45114,1.59574,1.53410,0.92429,-0.28538,1.91127,0.33702,1.83058,1.38784,1.85240,0.88918,-0.99360,0.15315,1.03908
734.54000,-1.25874,-0.94518,-0.06571,-0.67673,1.54853,0.02542,1.65050,1.25355,1.66014,1.59596,0.12009,-0.69453,1.78775,0.22107,1.74530,1.19766,1.67787,0.73059,-1.33388,-0.29729,1.18584
734.54400,-1.17964,-0.94518,-0.48218,-0.56112,1.34620,-0.13345,1.47664,1.12183,1.66014,1.59596,1.08513,-0.64339,1.78775,0.04715,1.57475,1.13427,1.50333,0.65129,-1.33388,-0.40990,1.18584
734.54800,-0.78414,-0.73270,0.21194,-0.38770,1.95320,0.18429,1.82435,1.38528,1.66014,1.59596,1.56765,-0.43881,1.91127,0.22107,1.74530,1.32445,1.85240,1.04777,-0.88018,0.15315,1.11246
734.55200,-0.78414,-0.67958,0.48958,-0.27208,2.15553,0.26373,1.99821,1.45114,1.66014,1.59596,1.72849,-0.28538,2.03479,0.33702,1.83058,1.38784,1.76513,1.12707,-0.76675,0.15315,1.11246
734.55600,-1.17964,-0.83894,-0.20453,-0.61893,1.34620,-0.05402,1.65050,1.12183,1.66014,1.53410,0.44177,-0.48996,1.66423,0.16310,1.57475,1.13427,1.59060,0.73059,-1.33388,-0.29729,1.11246
