FP1,FP2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,A1,A2,FZ,CZ,PZ
740.80000,0.25239,-0.15519,-0.48525,0.40541,-0.08415,0.85298,0.32608,0.54596,0.28154,0.32075,-1.16311,0.78327,-0.64430,0.80504,-0.02435,0.38754,-0.00904,0.38185,0.11262,1.39076,0.75729
740.80400,0.09812,-0.15519,-0.48525,0.50498,-0.08415,0.94318,0.41557,0.58513,0.25537,0.29615,-1.09393,0.63697,-0.64430,0.75275,-0.06548,0.32467,-0.06928,0.29000,0.19846,1.51066,0.71283
740.80800,-0.21043,-0.50790,-0.87407,-0.09239,-0.17036,0.58236,0.28134,0.42843,0.25537,0.27156,-0.74801,-0.02136,-0.75354,0.49130,-0.10662,0.19893,-0.12952,0.22877,-0.14490,1.03108,0.80175
740.81200,-0.67326,-0.62547,-1.16569,-0.98845,-0.34279,0.40195,0.19186,0.35008,0.25537,0.27156,-1.02474,-0.24080,-0.80816,0.33444,-0.14775,0.13605,-0.06928,0.07568,-0.31658,0.79130,0.84622
740.81600,-0.36471,-0.62547,-0.87407,-0.29152,-0.17036,0.76277,0.28134,0.46761,0.25537,0.24696,-1.09393,-0.02136,-0.80816,0.38673,-0.10662,0.16749,-0.09940,0.10630,-0.14490,1.15098,0.75729
740.82000,0.25239,-0.15519,-0.19363,0.90322,-0.08415,0.85298,0.37083,0.54596,0.25537,0.27156,-0.81719,-0.02136,-0.75354,0.38673,-0.06548,0.23036,-0.18976,0.19815,0.19846,1.51066,0.75729
740.82400,-0.21043,-0.39033,-0.67966,0.00717,-0.25658,0.58236,0.28134,0.46761,0.28154,0.29615,-0.81719,-0.16765,-0.80816,0.22986,-0.14775,0.19893,-0.15964,0.07568,-0.05906,1.15098,0.80175
740.82800,-0.67326,-0.62547,-1.06848,-0.19195,-0.34279,0.40195,0.10237,0.38925,0.30770,0.32075,-1.16311,-0.38710,-0.97202,0.12528,-0.23001,0.13605,-0.15964,0.04507,-0.23074,0.91119,0.89068
740.83200,-0.36471,-0.39033,-0.58246,0.20629,-0.25658,0.58236,0.19186,0.42843,0.28154,0.29615,-1.57821,-0.24080,-1.02664,0.02071,-0.23001,0.13605,-0.21988,0.04507,-0.05906,1.15098,0.80175
740.83600,0.09812,-0.27276,-0.38805,0.20629,-0.17036,0.76277,0.28134,0.46761,0.25537,0.29615,-1.43984,-0.16765,-1.02664,-0.03158,-0.23001,0.16749,-0.18976,0.04507,0.19846,1.39076,0.75729
740.84000,-0.21043,-0.39033,-0.48525,0.10673,-0.25658,0.58236,0.23660,0.42843,0.30770,0.34535,-1.43984,-0.31395,-1.08126,-0.08387,-0.23001,0.13605,-0.25000,-0.01617,0.02678,1.15098,0.80175
