FP1,FP2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,A1,A2,FZ,CZ,PZ
737.20000,0.82063,-0.39842,0.58902,-2.00146,1.33411,-2.60174,0.60514,-2.16409,0.11916,-1.01593,0.60092,-1.41126,0.56844,-2.09097,1.05934,-1.42134,1.44540,-0.70021,0.10583,-1.12754,-1.38225
737.20400,0.82063,-0.08715,0.32606,-2.36338,0.65344,-2.13825,0.74394,-1.68777,0.33194,-0.61908,0.19213,-1.26871,0.56844,-1.71803,1.20607,-0.97717,1.18637,-0.42562,0.10583,-1.12754,-0.96923
737.20800,-0.57027,-0.70968,-0.98871,-0.73471,-0.70789,-2.29275,0.60514,-1.44961,0.54473,-0.35452,-0.42105,-1.26871,-0.21382,-1.59371,1.05934,-0.79950,0.92734,-0.42562,-1.65808,-2.19798,-0.41853
737.21200,-0.91800,-1.02094,-1.25166,-0.55375,-0.70789,-1.82925,0.46635,-1.05267,0.61565,-0.15609,-0.62545,-0.84106,-0.21382,-1.22077,1.05934,-0.53300,0.79782,-0.70021,-1.65808,-1.84117,-0.28086
737.21600,0.12518,-0.08715,-0.19985,-0.37278,0.65344,-0.90227,1.02153,-0.49696,0.68658,0.04233,0.39653,-0.69850,0.56844,-0.97214,1.49951,-0.08883,1.05685,-0.28832,0.10583,-0.41391,-0.28086
737.22000,0.82063,0.22411,0.06311,0.35107,2.01477,-0.28428,1.43791,-0.02064,0.89936,0.43918,0.60092,-0.98361,1.08995,-0.84783,1.79296,0.26650,1.05685,0.39816,0.98779,0.29972,-0.14318
737.22400,-0.57027,-0.08715,-0.98871,-0.55375,-0.02723,-0.43877,0.88273,0.05875,0.97029,0.63760,-0.42105,-0.98361,0.04694,-0.97214,1.20607,0.17767,0.79782,-0.01373,-0.77612,-0.77072,0.26984
737.22800,-1.26572,-0.70968,-2.04052,-0.37278,-0.70789,-0.43877,0.60514,0.21752,0.97029,0.63760,-1.44303,-0.98361,-0.47457,-0.97214,0.91262,0.26650,0.53879,-0.28832,-1.65808,-1.12754,0.40752
737.23200,-0.22254,-0.39842,-0.19985,0.53203,0.65344,0.48821,1.02153,0.69384,0.89936,0.76988,-1.85182,-0.69850,-0.47457,-0.47488,1.05934,0.71067,0.66830,0.12357,0.10583,0.29972,0.40752
737.23600,-0.22254,-0.08715,0.85197,0.89396,0.65344,0.79721,1.16032,0.93200,0.89936,0.90216,-0.62545,-0.55595,-0.47457,-0.10194,0.91262,0.88834,0.92734,0.39816,0.98779,1.01336,0.40752
737.24000,-1.26572,-0.39842,-0.98871,0.17011,-0.02723,0.48821,1.02153,0.93200,1.04122,0.96830,-0.21666,-0.41340,-0.73532,-0.10194,0.76590,0.88834,0.53879,0.26086,-0.33514,-0.05709,0.82054
737.24400,-1.26572,-0.70968,-0.98871,-0.19182,-0.70789,0.48821,0.60514,0.93200,0.97029,1.03445,-1.03424,-0.55595,-0.99608,-0.10194,0.47245,0.88834,0.40927,-0.15103,-1.21710,-0.77072,1.09589
737.24800,-0.57027,-0.70968,-0.19985,-0.37278,-0.02723,0.95171,0.88273,1.09078,0.82844,0.96830,-0.62545,-0.27085,-0.73532,0.02238,0.47245,0.88834,0.53879,0.39816,0.10583,0.29972,0.95822
737.25200,0.47291,0.22411,0.32606,-0.55375,0.65344,1.56970,1.16032,1.24955,0.75751,0.90216,-0.01226,-0.27085,-0.47457,0.39532,0.61917,0.97717,0.40927,0.53545,0.98779,1.01336,0.95822
737.25600,-0.22254,-0.08715,-0.72575,1.07492,-0.02723,0.95171,0.88273,1.24955,0.82844,0.96830,-0.01226,-0.55595,-0.47457,0.39532,0.61917,0.97717,0.40927,0.53545,0.10583,0.65654,1.23357
737.26000,-0.91800,-0.70968,-1.77757,0.89396,-1.38856,0.64271,0.46635,1.09078,0.82844,0.96830,-0.42105,0.15681,-0.73532,0.27101,0.47245,0.88834,0.15024,0.53545,-0.33514,0.65654,1.37124
737.26400,-0.91800,-0.39842,-0.72575,0.35107,-0.70789,0.95171,0.60514,1.17016,0.68658,0.90216,-1.03424,0.44191,-0.99608,0.39532,0.32573,0.97717,-0.10879,0.67275,0.54681,1.37017,1.23357
737.26800,0.82063,0.22411,0.32606,1.25589,0.65344,1.41520,1.02153,1.32894,0.68658,0.96830,-0.62545,0.01426,-0.21382,0.76826,0.61917,1.33250,-0.10879,1.35923,1.86975,2.08380,1.09589
737.27200,0.12518,0.22411,0.06311,0.71300,0.65344,1.41520,0.88273,1.40833,0.75751,1.16673,0.19213,0.44191,0.04694,0.89258,0.61917,1.24367,0.40927,1.22193,0.98779,1.72699,1.37124
737.27600,-0.91800,-0.39842,-1.25166,-0.01086,-0.70789,0.79721,0.46635,1.24955,0.82844,1.29901,-0.42105,0.58446,-0.47457,0.89258,0.47245,1.24367,0.40927,0.81005,-0.77612,0.65654,1.64659
737.28000,0.12518,-0.08715,-1.25166,0.35107,-0.70789,0.95171,0.60514,1.40833,0.89936,1.29901,-0.62545,0.44191,0.04694,1.14121,0.61917,1.51017,0.53879,1.22193,0.10583,1.01336,1.50891
737.28400,1.16836,0.53537,1.11493,1.07492,1.33411,1.41520,1.16032,1.64649,0.89936,1.29901,0.19213,1.15467,0.82919,1.38984,1.05934,1.77667,0.92734,1.63382,1.42877,1.72699,1.23357
737.28800,1.16836,0.84663,0.85197,0.89396,1.33411,1.26070,1.16032,1.56710,0.97029,1.36515,1.21411,1.43978,1.08995,1.51415,1.05934,1.68784,0.92734,1.49652,0.98779,1.37017,1.09589
737.29200,-0.57027,-0.08715,-0.72575,-0.37278,-0.02723,0.48821,0.60514,1.09078,0.89936,1.36515,0.19213,0.58446,0.82919,1.01689,0.91262,1.24367,0.66830,0.94734,-0.77612,-0.05709,1.09589
