FP1,FP2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,A1,A2,FZ,CZ,PZ
732.80000,2.18248,-0.26794,3.55890,-1.45644,1.68272,-1.92561,0.43341,-0.24333,0.65106,0.64109,3.00467,-1.42904,2.30607,-1.29707,1.20274,0.35733,2.21314,1.80004,-0.27871,-0.88508,-0.29011
732.80400,2.00533,-0.45611,2.32374,-1.71633,1.51565,-1.92561,0.43341,-0.24333,0.70525,0.69037,2.62899,-1.23634,2.13423,-1.08261,1.12513,0.35733,2.12631,1.69758,-0.85455,-1.07133,-0.14359
732.80800,1.11958,-0.83243,1.29445,-2.10617,0.84737,-2.20181,0.19191,-0.39428,0.70525,0.69037,2.34723,-1.42904,1.87648,-1.29707,0.96990,0.17427,2.03948,1.28773,-1.43039,-1.44384,0.00293
732.81200,1.11958,-0.83243,1.50030,-2.75590,1.01444,-1.64942,0.27241,-0.16786,0.70525,0.59180,2.44115,-1.62174,1.79056,-0.86815,0.96990,0.26580,1.95265,1.28773,-0.85455,-0.88508,0.07619
732.81600,1.47388,-0.45611,1.70616,-2.10617,1.18151,-1.09704,0.59441,0.13404,0.65106,0.64109,2.91075,-1.42904,1.79056,-0.43922,1.04751,0.54039,1.69215,1.69758,0.00921,-0.14006,0.07619
732.82000,1.29673,-0.45611,1.29445,-0.54681,1.01444,-1.09704,0.59441,0.20952,0.70525,0.73966,2.06547,-0.85095,1.53280,-0.43922,1.04751,0.44886,1.77899,1.28773,0.00921,-0.14006,0.29597
732.82400,0.58814,-1.20876,1.08859,-1.58638,0.51324,-1.37323,0.35291,0.13404,0.75943,0.78894,1.31412,-1.23634,1.27504,-1.08261,0.81466,0.35733,1.60532,1.08281,-1.14247,-0.69882,0.44249
732.82800,0.23384,-1.20876,0.88273,-1.58638,0.51324,-1.23513,0.35291,0.20952,0.70525,0.73966,1.40804,-1.23634,1.18912,-1.08261,0.65943,0.35733,1.43166,1.28773,-0.85455,-0.32632,0.44249
732.83200,0.76528,-0.83243,1.70616,-0.93665,0.84737,-0.68275,0.67491,0.43594,0.65106,0.78894,1.59588,-0.65825,1.18912,-0.22476,0.81466,0.63192,1.34483,1.28773,0.29713,0.23244,0.44249
732.83600,0.58814,-0.83243,1.29445,-1.19654,0.68030,-0.68275,0.75541,0.58689,0.81361,0.93679,1.22020,-1.23634,1.10320,-0.43922,0.81466,0.72344,1.25800,1.49266,0.00921,0.23244,0.58900
732.84000,0.05669,-1.20876,0.05929,-1.58638,0.34617,-0.95894,0.59441,0.51141,0.92198,1.03536,0.56276,-1.81443,0.93136,-0.86815,0.81466,0.63192,1.17117,0.98035,-1.14247,-0.51257,0.80878
732.84400,-0.29761,-1.39693,0.05929,-1.71633,0.34617,-0.95894,0.59441,0.51141,0.97616,0.98608,0.84452,-2.00713,1.01728,-0.65368,0.89228,0.72344,1.08434,0.98035,-1.14247,-0.32632,0.80878
732.84800,0.41099,-0.83243,0.88273,-1.06660,0.84737,-0.40656,0.91641,0.88879,1.03034,1.08465,1.40804,-1.42904,1.18912,-0.01029,1.04751,1.18109,1.25800,1.49266,0.00921,0.23244,0.73552
732.85200,0.41099,-0.45611,0.88273,-0.93665,1.01444,-0.26846,1.07741,1.03974,1.13871,1.23250,0.93844,-0.46556,1.27504,0.63310,1.20274,1.45568,1.51849,1.59512,0.00921,0.41870,0.80878
732.85600,-0.12046,-1.02060,-0.55829,-1.58638,0.51324,-0.68275,0.83591,0.88879,1.19289,1.28178,0.37493,-1.04365,1.01728,0.20417,1.12513,1.27262,1.25800,1.39019,-1.14247,-0.32632,0.95530
732.86000,-0.29761,-1.02060,-0.76415,-1.45644,0.51324,-0.54465,0.83591,1.03974,1.24707,1.28178,0.56276,-0.65825,1.01728,0.63310,1.20274,1.36415,1.43166,1.39019,-1.14247,-0.32632,1.02856
732.86400,0.05669,-0.64427,0.47101,-0.93665,0.68030,0.00773,0.99691,1.19068,1.24707,1.28178,1.12628,-0.08016,1.10320,1.49095,1.20274,1.73026,1.69215,1.80004,-0.27871,0.41870,0.88204
732.86800,0.23384,-0.26794,0.88273,-1.32649,0.68030,0.14583,1.07741,1.19068,1.19289,1.33107,1.31412,-0.08016,1.10320,1.70541,1.20274,1.82179,1.51849,2.00496,0.29713,0.41870,0.80878
732.87200,0.05669,-0.26794,-0.35243,-2.10617,0.68030,-0.13036,0.91641,1.03974,1.24707,1.28178,0.84452,0.30523,1.01728,1.27649,1.12513,1.63873,1.43166,1.69758,-0.85455,-0.14006,0.95530
732.87600,0.05669,-0.45611,-0.35243,-0.54681,0.51324,-0.40656,0.75541,0.88879,1.13871,1.23250,0.28101,-0.46556,0.84545,0.84756,1.04751,1.36415,1.43166,1.28773,-0.85455,-0.51257,0.88204
732.88000,0.41099,-0.07978,0.88273,-0.02703,0.68030,0.00773,0.83591,0.96426,1.03034,1.08465,0.46885,-0.08016,0.84545,1.49095,0.96990,1.45568,1.17117,1.39019,0.00921,0.04619,0.66226
732.88400,0.76528,0.29655,1.08859,-0.02703,0.84737,0.42202,0.99691,0.96426,0.97616,1.08465,0.56276,0.49793,0.93136,1.91988,1.04751,1.45568,1.25800,1.69758,0.58505,0.41870,0.51575
732.88800,0.23384,-0.07978,0.47101,-0.02703,0.68030,0.14583,0.91641,0.73784,1.03034,1.13393,0.28101,0.11253,0.84545,1.70541,1.04751,1.36415,1.17117,1.49266,0.00921,-0.14006,0.58900
732.89200,-0.29761,-0.26794,-0.35243,-0.67676,0.68030,-0.40656,0.67491,0.58689,1.03034,1.03536,0.18709,0.11253,0.84545,1.70541,0.96990,1.27262,0.91068,1.18527,-0.85455,-0.69882,0.58900
732.89600,0.05669,-0.07978,0.47101,-0.28692,1.01444,-0.13036,0.91641,0.73784,0.97616,0.93679,0.75060,0.11253,1.01728,1.70541,1.12513,1.36415,1.08434,1.39019,-0.27871,-0.14006,0.51575
732.90000,0.41099,0.29655,1.08859,-0.02703,1.34858,0.42202,1.15791,0.88879,0.97616,0.98608,1.03236,0.88332,1.18912,2.13434,1.20274,1.45568,1.17117,1.39019,0.58505,0.41870,0.44249
732.90400,-0.12046,0.10838,0.05929,-0.15697,1.18151,0.28393,1.15791,0.81331,1.03034,1.03536,0.75060,0.88332,1.18912,1.91988,1.28036,1.27262,1.25800,1.18527,-0.27871,0.04619,0.58900
732.90800,-0.82906,-0.64427,-0.55829,-0.67676,0.84737,-0.26846,0.91641,0.58689,1.03034,0.98608,0.37493,0.69062,1.01728,1.27649,1.12513,0.99803,1.08434,1.08281,-1.43039,-0.51257,0.66226
732.91200,-0.65191,-0.64427,0.05929,-0.41687,1.01444,-0.13036,0.99691,0.51141,0.86779,0.78894,0.37493,0.88332,1.01728,1.27649,1.04751,0.90650,0.91068,1.08281,-0.85455,-0.32632,0.44249
732.91600,0.05669,-0.07978,0.67687,0.23286,1.34858,0.28393,1.15791,0.51141,0.81361,0.73966,0.84452,0.88332,1.10320,1.49095,1.04751,0.99803,1.08434,1.18527,0.29713,0.41870,0.36923
732.92000,-0.12046,-0.26794,0.05929,-0.41687,1.34858,0.14583,1.07741,0.28499,0.75943,0.69037,0.75060,0.49793,0.93136,1.06202,0.96990,0.81497,0.73702,0.87789,-0.27871,0.23244,0.36923
732.92400,-1.00621,-0.83243,-0.97001,-1.84627,0.84737,-0.54465,0.75541,-0.01691,0.70525,0.59180,-0.09467,-0.46556,0.67361,0.20417,0.81466,0.35733,0.47653,0.36558,-1.43039,-0.32632,0.36923
732.92800,-0.82906,-0.83243,-0.14657,-0.67676,0.84737,-0.68275,0.75541,-0.16786,0.59688,0.49324,0.18709,-0.65825,0.67361,-0.01029,0.81466,0.35733,0.21603,0.36558,-1.14247,-0.14006,0.29597
732.93200,-0.47476,-0.45611,0.67687,0.49276,1.18151,-0.68275,0.91641,-0.16786,0.48851,0.44395,0.65668,-0.27286,0.67361,0.20417,0.73705,0.35733,0.12920,0.36558,-0.27871,0.41870,0.14945
732.93600,-0.82906,-0.64427,0.47101,-0.41687,1.18151,-0.82084,0.91641,-0.31880,0.48851,0.44395,0.37493,0.11253,0.67361,-0.43922,0.58181,0.17427,0.21603,0.26312,-0.56663,0.41870,0.07619
732.94000,-1.53765,-1.39693,-0.55829,-0.93665,0.84737,-1.64942,0.67491,-0.77165,0.48851,0.34538,0.37493,-0.85095,0.58769,-1.08261,0.58181,-0.10032,-0.04446,-0.14672,-1.71831,-0.32632,0.07619
732.94400,-1.71480,-1.58509,-0.76415,-1.19654,0.84737,-1.92561,0.51391,-0.92260,0.32596,0.14825,0.37493,-1.42904,0.50177,-0.86815,0.50420,-0.28337,-0.21812,-0.14672,-2.00623,-0.32632,-0.14359
732.94800,-1.18336,-1.39693,0.47101,-0.80671,1.18151,-1.64942,0.67491,-0.84712,0.16342,0.09896,-0.00075,-0.46556,0.50177,-0.86815,0.50420,-0.10032,-0.21812,0.05820,-0.85455,0.23244,-0.43663
732.95200,-0.82906,-1.20876,0.26515,-0.67676,1.18151,-1.64942,0.67491,-0.84712,0.16342,0.09896,-0.47035,-0.85095,0.50177,-0.86815,0.50420,-0.10032,-0.04446,0.05820,-0.85455,0.04619,-0.43663
732.95600,-1.71480,-1.58509,-0.76415,-1.19654,0.84737,-2.06371,0.27241,-1.14902,0.16342,0.09896,-0.18859,-1.81443,0.32993,-1.51154,0.27135,-0.37490,-0.30495,-0.35165,-2.00623,-0.69882,-0.43663
732.96000,-1.53765,-1.58509,-0.97001,-1.19654,0.68030,-2.06371,0.11141,-1.22450,0.05505,0.00039,-0.00075,-1.23634,0.15809,-1.72600,0.11611,-0.46643,-0.39178,-0.65903,-1.71831,-0.88508,-0.50988
732.96400,-0.29761,-0.83243,0.05929,-0.67676,1.01444,-1.51132,0.27241,-0.92260,-0.05332,-0.04889,0.09317,-0.85095,0.32993,-1.08261,0.11611,-0.19184,-0.30495,-0.24919,-0.56663,-0.14006,-0.58314
