FP1,FP2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,A1,A2,FZ,CZ,PZ
736.20000,-0.42109,-0.08602,0.53318,1.04940,2.14645,1.35724,0.66542,0.45614,0.87567,0.49698,2.06685,1.10568,3.30687,2.03452,1.80762,1.17976,2.75455,1.18039,-0.48859,-0.31381,-0.26358
736.20400,-0.47458,-0.02296,0.44617,1.14011,1.91845,1.43729,0.59980,0.45614,0.85041,0.49698,1.50306,0.97117,2.92477,2.03452,1.69254,1.21515,2.50081,1.21740,-0.48859,-0.31381,-0.23532
736.20800,-0.63506,-0.02296,-0.16288,1.04940,1.46243,1.27720,0.40293,0.34441,0.77462,0.47068,1.08022,0.83666,2.46624,1.86751,1.42403,1.10898,2.02959,1.29144,-0.65211,-0.52796,-0.20707
736.21200,-0.47458,0.10318,0.01114,1.14011,1.12042,1.35724,0.23887,0.26993,0.64831,0.36548,1.15069,1.10568,2.08414,2.03452,1.19388,1.10898,1.73961,1.32845,-0.48859,-0.45658,-0.23532
736.21600,-0.20712,0.41851,0.62019,1.23083,1.23443,1.75747,0.20606,0.38165,0.52201,0.33917,1.22116,1.64372,1.93130,2.36854,1.04044,1.17976,1.41338,1.51354,0.00196,-0.17104,-0.32010
736.22000,-0.10014,0.60772,0.53318,1.41226,1.12042,1.83751,0.17325,0.38165,0.49674,0.39178,1.29164,1.91274,1.93130,2.45205,1.00208,1.17976,1.23214,1.55055,0.08372,-0.09965,-0.32010
736.22400,-0.20712,0.54465,0.09814,2.04726,0.66441,1.35724,0.04200,0.26993,0.52201,0.41808,1.00974,1.91274,1.62562,2.36854,0.84865,1.10898,1.01465,1.36547,-0.24331,-0.38519,-0.32010
736.22800,-0.26061,0.41851,0.01114,1.59369,0.55041,1.27720,-0.05644,0.23269,0.54727,0.47068,0.65738,1.57647,1.54920,2.28504,0.73357,1.10898,0.94215,1.47652,-0.24331,-0.45658,-0.32010
736.23200,-0.10014,0.60772,0.35917,1.95655,0.77841,1.51733,0.04200,0.38165,0.54727,0.52328,1.00974,1.44195,1.62562,2.45205,0.77193,1.17976,1.01465,1.47652,0.00196,-0.17104,-0.32010
736.23600,-0.10014,0.60772,0.53318,1.95655,0.77841,1.51733,0.07481,0.41889,0.54727,0.62848,1.29164,1.44195,1.54920,2.36854,0.77193,1.21515,0.94215,1.43950,0.00196,-0.02827,-0.26358
736.24000,-0.31411,0.41851,0.01114,1.32154,0.55041,1.27720,0.00919,0.41889,0.64831,0.70738,1.22116,1.24019,1.39636,2.20153,0.73357,1.14437,1.05090,1.21740,-0.32507,-0.24242,-0.12230
736.24400,-0.47458,0.22931,-0.16288,1.14011,0.43640,1.11711,0.04200,0.49338,0.74936,0.81259,1.00974,1.24019,1.39636,2.03452,0.81029,1.10898,1.08715,0.95829,-0.48859,-0.24242,-0.00927
736.24800,-0.36760,0.22931,0.09814,1.32154,0.55041,1.35724,0.20606,0.64234,0.82515,0.94409,0.65738,1.24019,1.31994,2.03452,0.88701,1.17976,0.90591,0.95829,-0.24331,0.11450,0.07550
736.25200,-0.26061,0.29238,0.09814,1.50297,0.77841,1.51733,0.30449,0.75407,0.87567,1.04929,0.51643,1.24019,1.31994,2.11803,0.88701,1.25054,0.94215,0.95829,-0.07980,0.32866,0.13202
736.25600,-0.47458,-0.02296,-0.24989,1.04940,0.55041,1.27720,0.27168,0.75407,1.07776,1.18080,0.51643,1.03842,1.24351,1.86751,1.04044,1.21515,0.86966,0.73619,-0.32507,0.18589,0.27330
736.26000,-0.68855,-0.08602,-0.68492,0.68653,0.32240,0.95702,0.23887,0.67959,1.12828,1.20710,0.30501,0.70215,1.16709,1.78401,1.07880,1.14437,0.86966,0.62514,-0.57035,-0.02827,0.32982
736.26400,-0.52807,0.04011,-0.16288,0.41439,0.55041,1.19715,0.14043,0.64234,0.72410,0.94409,0.37548,1.03842,1.01425,1.95102,0.61850,1.07359,0.68842,0.81022,-0.40683,0.11450,0.24504
736.26800,-0.47458,0.04011,0.44617,0.41439,0.66441,1.35724,0.27168,0.71683,0.79988,1.02299,0.44596,1.17293,1.16709,2.03452,0.73357,1.14437,0.57968,0.95829,-0.16156,0.40004,0.24504
736.27200,-0.63506,-0.14909,0.01114,1.14011,0.77841,0.95702,0.30449,0.64234,0.95145,1.10190,0.44596,0.70215,1.47278,1.78401,1.00208,1.07359,0.90591,0.77320,-0.48859,0.25727,0.30156
736.27600,-0.68855,-0.21216,-0.24989,0.50510,0.43640,0.55679,0.10762,0.41889,0.64831,0.83889,0.79832,0.50038,1.24351,1.44999,0.58014,0.79047,0.57968,0.58812,-0.65211,-0.02827,0.27330
736.28000,-0.63506,-0.33829,0.01114,0.23296,0.55041,0.47675,0.20606,0.38165,0.64831,0.75999,0.93927,0.23136,1.47278,1.28298,0.69521,0.75508,0.72467,0.55110,-0.65211,0.04312,0.24504
736.28400,-0.58157,-0.21216,0.44617,0.59582,0.89242,0.71688,0.30449,0.41889,0.62305,0.73369,1.36211,0.29861,1.85488,1.19947,0.84865,0.71969,1.08715,0.58812,-0.40683,0.25727,0.21679
736.28800,-0.47458,-0.21216,0.35917,0.32367,0.77841,0.63684,0.20606,0.34441,0.47148,0.62848,1.08022,0.50038,1.54920,1.28298,0.58014,0.64891,0.72467,0.62514,-0.40683,0.11450,0.21679
736.29200,-0.58157,-0.33829,-0.16288,0.05153,0.55041,0.31666,0.07481,0.23269,0.42096,0.60218,0.37548,0.23136,1.47278,1.11596,0.54178,0.54274,0.68842,0.51409,-0.73387,-0.09965,0.24504
736.29600,-0.52807,-0.40136,-0.16288,0.05153,0.55041,0.31666,-0.02362,0.23269,0.24413,0.41808,0.79832,0.16410,1.31994,0.94895,0.38834,0.47196,0.50718,0.47707,-0.65211,-0.02827,0.18853
736.30000,-0.26061,-0.21216,0.18515,0.41439,0.77841,0.63684,0.04200,0.34441,0.19361,0.36548,0.93927,0.50038,1.39636,1.28298,0.38834,0.50735,0.54343,0.58812,-0.24331,0.25727,0.16027
736.30400,-0.15363,-0.14909,0.27216,0.50510,0.66441,0.71688,0.00919,0.30717,0.14308,0.36548,0.51643,0.56764,1.31994,1.36648,0.34999,0.50735,0.61592,0.62514,-0.24331,0.25727,0.16027
736.30800,-0.31411,-0.21216,-0.07587,0.05153,0.20840,0.39670,-0.12206,0.15820,0.06730,0.28657,0.23454,0.50038,1.09067,1.11596,0.27327,0.36579,0.54343,0.44005,-0.40683,-0.02827,0.18853
736.31200,-0.26061,-0.21216,-0.24989,-0.67420,-0.01961,0.23661,-0.22049,0.04648,-0.05901,0.12877,0.44596,0.23136,1.01425,0.78194,0.11983,0.22423,0.50718,0.47707,-0.48859,-0.17104,0.10376
736.31600,0.06034,0.04011,0.18515,-0.31134,0.32240,0.47675,-0.18768,0.00924,-0.18532,-0.00274,0.93927,0.29861,1.01425,0.94895,0.00476,0.22423,0.47093,0.58812,-0.16156,0.11450,0.01899
736.32000,0.16732,0.16625,0.53318,0.77725,0.32240,0.31666,-0.15487,-0.06525,-0.23584,-0.05534,0.93927,0.50038,1.09067,1.11596,0.04312,0.18884,0.57968,0.58812,0.00196,0.11450,-0.00927
736.32400,0.06034,-0.02296,0.01114,0.14224,-0.01961,-0.08357,-0.31893,-0.21421,-0.31163,-0.16054,0.65738,0.50038,0.86141,0.94895,-0.07196,0.04728,0.57968,0.47707,-0.32507,-0.24242,-0.06578
736.32800,0.00685,-0.08602,0.01114,-0.31134,-0.13361,-0.24366,-0.45018,-0.36318,-0.41267,-0.23944,0.72785,0.50038,0.78499,0.61493,-0.18704,-0.09428,0.50718,0.47707,-0.40683,-0.38519,-0.12230
736.33200,0.27431,0.16625,0.53318,0.14224,-0.01961,-0.08357,-0.38455,-0.32594,-0.46320,-0.26574,0.93927,0.36587,0.78499,0.69844,-0.18704,-0.02350,0.57968,0.58812,0.00196,-0.17104,-0.17881
736.33600,0.54177,0.35545,0.62019,0.14224,-0.01961,0.07652,-0.38455,-0.28870,-0.46320,-0.23944,0.79832,0.70215,0.55573,0.86545,-0.22540,0.04728,0.57968,0.69917,0.16548,-0.02827,-0.23532
736.34000,0.43478,0.10318,0.18515,-0.03919,-0.36162,-0.24366,-0.51580,-0.43766,-0.41267,-0.21314,0.58690,0.50038,0.32647,0.53143,-0.34047,-0.09428,0.47093,0.51409,-0.07980,-0.31381,-0.20707
736.34400,0.32780,-0.08602,-0.07587,-0.49277,-0.58962,-0.56384,-0.64704,-0.54939,-0.43794,-0.26574,0.23454,0.29861,0.02079,0.19741,-0.45555,-0.20045,0.28969,0.40304,-0.24331,-0.52796,-0.26358
