Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz
-2.209704e+07,-1.08992e+08,-5.170711e+07,-9.747324e+07,3.418682e+07,-6.779866e+07,7.390308e+07,-4.030929e+07,9.995293e+07,4.365464e+07,-4.698916e+07,-2.437895e+07,4.53772e+07,-2.769245e+07,3.200916e+07,-5.976947e+07,6.459609e+07,-6.757766e+07,2.211051e+08
1.808344e+08,-2.677301e+08,2.120467e+08,-1.410582e+08,1.705999e+08,-2.409913e+08,1.464982e+08,-3.386479e+08,1.959364e+08,-2.479409e+08,3.490556e+08,-1.792963e+08,2.93001e+08,-1.560101e+08,2.983356e+08,-2.364433e+08,2.268034e+08,-3.167469e+08,5.175363e+07
2.088046e+08,-2.426851e+08,3.520431e+08,-1.281112e+08,2.728074e+08,-1.985616e+08,2.69699e+08,-4.308284e+08,1.507109e+08,-2.268076e+08,1.740669e+08,-1.340774e+08,1.866205e+08,-7.431185e+07,1.912161e+08,-2.508587e+08,3.469222e+07,-1.747167e+08,2.029773e+07
6.850616e+07,-1.059221e+08,1.979237e+08,3.321056e+07,1.379085e+08,-1.942119e+08,-1871237,-5.581246e+08,9.449113e+07,-4.214166e+08,3.320928e+08,3.27983e+07,3.327673e+08,1.054055e+07,2.469666e+08,-2.858636e+08,3.600924e+08,-1.088728e+08,-1.71015e+08
2.938027e+08,-1.577411e+08,4.042212e+08,-2.566716e+07,3.147289e+08,-2.440677e+08,2.159349e+08,-6.059955e+08,1.694792e+08,-3.524367e+08,2.834302e+08,-1.934457e+08,3.438639e+08,-1.080368e+08,3.567844e+08,-3.309307e+08,1.293986e+08,-3.278251e+08,-1.654976e+08
-1.519023e+08,-2.603285e+08,9.790237e+07,-3.589046e+07,1.097068e+08,-7.452185e+07,4.746209e+07,-3.077071e+08,1.335305e+08,-6.926503e+07,707254,2.64398e+07,2.049192e+08,6.829866e+07,2.33534e+08,1346833,7.436438e+07,-3.508711e+07,-6.350945e+07
-1.270117e+08,-4.989772e+08,1.108141e+08,-1.277553e+08,1.070662e+08,-2.014205e+08,1.170013e+08,-3.342757e+08,2.897266e+08,-3.570252e+08,2.683094e+08,-9.24265e+07,4.347684e+08,-3.758046e+07,4.694451e+08,-1.197588e+08,1.698336e+08,-9.042077e+07,1.968731e+07
-1.291931e+08,-5.509775e+08,1.294456e+08,-2.601345e+08,1.975401e+08,-1.244762e+08,3.74819e+08,-1.346446e+08,3.224024e+08,-8.075848e+07,-1.170193e+07,-2.462841e+08,2.520159e+08,-1.113126e+08,3.378128e+08,4457753,-2.212007e+08,3.756944e+07,2.146209e+08
-4.38439e+08,-4.498882e+08,-1.761113e+08,-2.732495e+08,-1.795611e+07,-3.279401e+07,1.471145e+08,1.533562e+08,2.021219e+08,1.4837e+08,-2.534758e+07,-2.146745e+08,2.400375e+08,-8.732147e+07,2.593348e+08,9.576897e+07,-8.223714e+07,1.911599e+08,3.607551e+08
-1.96793e+08,-6.09041e+08,-3910508,-4.423871e+08,1.704981e+08,-1.689478e+08,4.2669e+08,3.152554e+08,3.572375e+08,2.310843e+08,-5.370272e+07,-5.112698e+08,2.588998e+08,-2.857034e+08,2.736512e+08,-3.191479e+07,-2.59006e+08,2.184005e+07,5.075197e+08
-4.203067e+08,-6.281829e+08,-1.404096e+08,-3.678546e+08,8.407984e+07,-1.163667e+07,3.275461e+08,4.92306e+08,2.856748e+08,3.290877e+08,-2.705438e+08,-3.620684e+08,1.557981e+08,-9.515324e+07,1.120597e+08,1.701346e+08,-3.1095e+08,1.943471e+08,4.56072e+08
-3.8194e+08,-7.180403e+08,-3.419626e+07,-3.408388e+08,1.551191e+08,-1.196972e+08,2.315345e+08,3.324956e+08,3.084151e+08,1.639245e+07,1.040025e+08,-4.069513e+08,3.831096e+08,-2.09309e+08,3.062967e+08,4742856,-8285679,1.876546e+07,3.583846e+08
-1.776538e+08,-6.266473e+08,1.557429e+08,-3.427038e+08,2.91025e+08,-1.034827e+08,3.940337e+08,2.97504e+08,2.644865e+08,1.641086e+08,5.489548e+07,-4.78999e+08,2.408733e+08,-2.723871e+08,1.801206e+08,-4.801129e+07,-2.187584e+08,-9.126874e+07,3.171219e+08
-3.372351e+08,-3.77279e+08,-2.100852e+07,-1.246632e+08,6.72022e+07,-3132378,1.796869e+07,2.502291e+08,2.814745e+07,1.040244e+08,1.071155e+08,-1.596158e+08,2.296671e+08,-9.977102e+07,1.40782e+08,4.900404e+07,4.489224e+07,-3.658726e+07,1.202596e+08
-2.816332e+07,-3.492625e+08,2.490974e+08,-1.167334e+08,2.006154e+08,-1.337971e+08,1.543454e+08,-1.220248e+08,2.124287e+08,-2.465339e+08,2.644431e+08,-2.407507e+08,3.918673e+08,-1.694233e+08,3.285547e+08,-1.385554e+08,5.083787e+07,-2.201051e+08,-8.684038e+07
-1.799703e+08,-3.201498e+08,1.404474e+08,4.527944e+07,1.064656e+08,-5.269779e+07,1.339069e+08,-2.127622e+08,2.207664e+08,-8.248873e+07,6.173525e+07,-4.795729e+07,2.272197e+08,4.268434e+07,1.514983e+08,-2.363283e+07,-8221166,-2.630398e+07,-1.758194e+08
-1.337059e+08,-2.881309e+08,1.569202e+08,1.249021e+08,1.648307e+07,-1.498354e+08,-5.370777e+07,-3.594655e+08,7.262531e+07,-1.574594e+08,3.37276e+08,7985745,4.024618e+08,2.007009e+07,2.466776e+08,-1.326195e+08,3.761203e+08,-2.102004e+08,-2.763975e+08
1.195672e+08,-2.838864e+08,3.771586e+08,1.025836e+08,2.170124e+08,-1.670682e+08,1.300798e+08,-4.623145e+08,3.562433e+07,-1.991643e+08,2.912843e+08,-5.914979e+07,3.23288e+08,-2992631,2.62653e+08,-1.119669e+08,1.446175e+08,-3.251151e+08,-3.922108e+08
-2.338475e+08,-1.720881e+08,1.194042e+08,1.887572e+08,-1.361774e+07,-4.062858e+07,-1.289819e+08,-3.783776e+08,-1.623299e+07,-7.450329e+07,1.46111e+08,1.584342e+08,2.367345e+08,1.873903e+08,1.503812e+08,8.160972e+07,2.281585e+08,-9.999062e+07,-3.387124e+08
1.212844e+08,-2.433804e+08,1.555564e+08,-2.222235e+08,2.206488e+08,-1.337704e+08,2.038126e+08,6.289779e+07,1.276595e+08,-1.773397e+08,1.267129e+08,-2.638592e+08,2.159808e+08,-2.733507e+08,2.210756e+08,-1.340391e+08,1.00021e+08,-2.240536e+08,1.16367e+08
